image_id,optimal_block,best_score,original_h,original_w,adjusted_h,adjusted_w,size_change_h,size_change_w
1,8,2.9746,599,424,608,432,9,8
10,8,16.4404,643,433,656,448,13,15
100,15,1.4093,707,476,720,480,13,4
102,8,1.8357,452,314,464,320,12,6
105,8,1.6064,637,439,640,448,3,9
106,8,3.2664,602,419,608,432,6,13
107,8,1.4771,643,440,656,448,13,8
108,8,1.1488,482,582,496,592,14,10
109,8,1.4137,793,523,800,528,7,5
11,9,2.9552,426,284,432,288,6,4
110,16,1.3316,587,378,592,384,5,6
111,8,1.2406,601,421,608,432,7,11
113,8,2.5282,560,419,560,432,0,13
114,8,1.8296,643,430,656,432,13,2
115,8,2.0996,596,416,608,416,12,0
116,16,1.366,767,516,768,528,1,12
117,16,1.1464,583,456,592,464,9,8
118,8,2.5743,652,428,656,432,4,4
119,8,1.9279,598,423,608,432,10,9
12,16,1.7969,629,455,640,464,11,9
120,16,1.6733,714,618,720,624,6,6
121,8,1.8159,502,316,512,320,10,4
122,12,1.34,569,377,576,384,7,7
123,8,2.5372,304,606,304,608,0,2
125,8,1.1908,550,754,560,768,10,14
126,8,1.4939,603,421,608,432,5,11
127,8,1.5062,428,292,432,304,4,12
128,8,4.5003,536,394,544,400,8,6
129,16,2.3908,680,507,688,512,8,5
13,8,1.8242,498,316,512,320,14,4
130,8,2.4002,508,318,512,320,4,2
131,8,2.0736,557,415,560,416,3,1
132,8,1.7433,734,494,736,496,2,2
133,8,1.9275,593,392,608,400,15,8
134,8,1.9803,597,422,608,432,11,10
135,8,1.3295,540,348,544,352,4,4
136,8,1.543,652,420,656,432,4,12
137,8,1.9775,428,274,432,288,4,14
139,8,1.4387,761,576,768,576,7,0
14,16,1.6733,609,421,624,432,15,11
140,8,4.0215,412,284,416,288,4,4
141,8,3.1102,506,428,512,432,6,4
142,8,1.9898,601,377,608,384,7,7
144,11,1.7902,519,351,528,352,9,1
145,8,1.1066,504,354,512,368,8,14
147,8,2.173,593,422,608,432,15,10
149,16,1.5954,683,487,688,496,5,9
15,16,1.4714,655,451,656,464,1,13
150,8,3.6506,672,508,672,512,0,4
151,8,1.4616,632,411,640,416,8,5
152,16,1.7911,522,393,528,400,6,7
153,8,2.0976,592,433,592,448,0,15
154,8,1.2522,601,424,608,432,7,8
155,8,2.1685,544,630,544,640,0,10
156,8,2.2712,648,438,656,448,8,10
157,16,2.9306,663,515,672,528,9,13
158,8,1.7064,598,424,608,432,10,8
